FS,Type,request_size,file_size,count,time (ns),Bandwidth (GB/s)
PMFS,Posix,2097152,1073741824,512,120117995,8.939059
PMFS,Posix,4194304,1073741824,256,108546251,9.892021
PMFS,Posix,8388608,1073741824,128,139980401,7.670658
PMFS,Posix,16777216,1073741824,64,204785354,5.243255
PMFS,Posix,33554432,1073741824,32,226109195,4.748776
PMFS,Posix,67108864,1073741824,16,266396018,4.030623
PMFS,Posix-mmap,512,1073741824,2097152,124730604,8.608487
PMFS,Posix-mmap,1024,1073741824,1048576,98657479,10.883532
PMFS,Posix-mmap,2048,1073741824,524288,98017275,10.954618
PMFS,Posix-mmap,4096,1073741824,262144,105379692,10.189267
PMFS,Posix-mmap,8192,1073741824,131072,99437748,10.798131
PMFS,Posix-mmap,16384,1073741824,65536,98536966,10.896843
PMFS,Posix-mmap,32768,1073741824,32768,98928670,10.853697
PMFS,Posix-mmap,65536,1073741824,16384,99705423,10.769142
PMFS,Posix-mmap,131072,1073741824,8192,109563834,9.800148
PMFS,Posix-mmap,262144,1073741824,4096,99202647,10.823722
PMFS,Posix-mmap,524288,1073741824,2048,100433352,10.691088
PMFS,Posix-mmap,1048576,1073741824,1024,102567123,10.468674
PMFS,Posix-mmap,2097152,1073741824,512,112452378,9.548414
PMFS,Posix-mmap,4194304,1073741824,256,146114426,7.348637
PMFS,Posix-mmap,8388608,1073741824,128,154510582,6.949309
PMFS,Posix-mmap,16777216,1073741824,64,185324038,5.793862
PMFS,Posix-mmap,33554432,1073741824,32,202668157,5.298029
PMFS,Posix-mmap,67108864,1073741824,16,208342427,5.153736
PMFS,Posix,512,1073741824,2097152,838710042,1.280230
PMFS,Posix,1024,1073741824,1048576,454480134,2.362572
PMFS,Posix,2048,1073741824,524288,259894726,4.131449
PMFS,Posix,4096,1073741824,262144,179039346,5.997239
PMFS,Posix,8192,1073741824,131072,190734985,5.629496
PMFS,Posix,16384,1073741824,65536,144817635,7.414441
PMFS,Posix,32768,1073741824,32768,139549662,7.694335
PMFS,Posix,65536,1073741824,16384,117468045,9.140714
PMFS,Posix,131072,1073741824,8192,111466504,9.632865
PMFS,Posix,262144,1073741824,4096,108973486,9.853239
